品种代码,品种名称,纳入日期
002625,光启技术,2025-12-15
300476,胜宏科技,2025-12-15
300251,光线传媒,2025-12-15
002384,东山精密,2025-12-15
603893,瑞芯微,2025-12-15
300803,指南针,2025-12-15
601456,国联民生,2025-12-15
600522,中天科技,2025-12-15
601018,宁波港,2025-12-15
300866,安克创新,2025-12-15
600930,华电新能,2025-12-15
601298,青岛港,2025-09-05
002600,领益智造,2025-06-16
601077,渝农商行,2025-06-16
601825,沪农商行,2025-06-16
001391,国货航,2025-06-16
302132,中航成飞,2025-06-16
301236,软通动力,2025-06-16
688047,龙芯中科,2025-06-16
601058,赛轮轮胎,2025-03-04
688506,百利天恒,2024-12-16
601136,首创证券,2024-12-16
600066,宇通客车,2024-12-16
688472,阿特斯,2024-12-16
300394,天孚通信,2024-12-16
300502,新易盛,2024-12-16
600377,宁沪高速,2024-12-16
000630,铜陵有色,2024-12-16
601127,赛力斯,2024-12-16
002028,思源电气,2024-12-16
002463,沪电股份,2024-12-16
600482,中国动力,2024-12-16
688169,石头科技,2024-12-16
000975,山金国际,2024-12-16
002422,科伦药业,2024-12-16
600160,巨化股份,2024-12-16
600027,华电国际,2024-06-17
688009,中国通号,2024-06-17
688082,盛美上海,2024-06-17
603296,华勤技术,2024-06-17
600027,华电国际,2024-06-17
000807,云铝股份,2024-06-17
600161,天坛生物,2024-06-17
600415,小商品城,2024-06-17
300442,润泽科技,2024-06-17
600026,中远海能,2024-06-17
300832,新产业,2024-06-17
300418,昆仑万维,2024-06-17
600489,中金黄金,2023-12-11
000999,华润三九,2023-12-11
300308,中际旭创,2023-12-11
600372,中航机载,2023-12-11
600938,中国海油,2023-12-11
688256,寒武纪,2023-12-11
301269,华大九天,2023-12-11
600515,海南机场,2023-12-11
688271,联影医疗,2023-12-11
600023,浙能电力,2023-12-11
601059,信达证券,2023-12-11
688041,海光信息,2023-12-11
601916,浙商银行,2023-12-11
601872,招商轮船,2023-06-12
000617,中油资本,2023-06-12
688223,晶科能源,2023-06-12
600875,东方电气,2023-06-12
601607,上海医药,2023-06-12
000983,山西焦煤,2023-06-12
600803,新奥股份,2022-12-12
600039,四川路桥,2022-12-12
688187,时代电气,2022-12-12
600674,川投能源,2022-12-12
601689,拓普集团,2022-12-12
688303,大全能源,2022-12-12
605117,德业股份,2022-12-12
600233,圆通速递,2022-12-12
000792,盐湖股份,2022-06-13
600219,南山铝业,2022-06-13
600188,兖矿能源,2022-06-13
002920,德赛西威,2022-06-13
002648,卫星化学,2022-06-13
300661,圣邦股份,2022-06-13
300979,华利集团,2022-06-13
002920,德赛西威,2022-06-13
000792,盐湖股份,2022-06-13
600219,南山铝业,2022-06-13
600188,兖矿能源,2022-06-13
000408,藏格矿业,2022-06-13
600089,特变电工,2022-06-13
603260,合盛硅业,2021-12-13
300999,金龙鱼,2021-12-13
300896,爱美客,2021-12-13
688981,中芯国际,2021-12-13
002466,天齐锂业,2021-12-13
601898,中煤能源,2021-12-13
000301,东方盛虹,2021-12-13
600905,三峡能源,2021-12-13
300782,卓胜微,2021-12-13
601728,中国电信,2021-12-13
300316,晶盛机电,2021-12-13
300759,康龙化成,2021-12-13
300760,迈瑞医疗,2021-12-13
601868,中国能建,2021-12-13
002459,晶澳科技,2021-12-13
300750,宁德时代,2021-12-13
002709,天赐材料,2021-12-13
605499,东鹏饮料,2021-12-13
688396,华润微,2021-06-15
688126,沪硅产业,2021-06-15
688111,金山办公,2021-06-15
601995,中金公司,2021-06-15
600426,华鲁恒升,2021-06-15
300274,阳光电源,2021-06-15
600600,青岛啤酒,2020-12-14
688012,中微公司,2020-12-14
603195,公牛集团,2020-12-14
002049,紫光国微,2020-12-14
600150,中国船舶,2020-12-14
603392,万泰生物,2020-12-14
600845,宝信软件,2020-12-14
600918,中泰证券,2020-12-14
600845,宝信软件,2020-12-14
600918,中泰证券,2020-12-14
688008,澜起科技,2020-12-14
000977,浪潮信息,2020-06-15
601816,京沪高铁,2020-06-15
603369,今世缘,2020-06-15
601100,恒立液压,2020-06-15
000708,中信特钢,2020-06-15
002371,北方华创,2020-06-15
003816,中国广核,2020-06-15
300014,亿纬锂能,2020-06-15
300628,亿联网络,2020-06-15
601658,邮储银行,2020-06-15
300347,泰格医药,2019-12-16
600183,生益科技,2019-12-16
600989,宝丰能源,2019-12-16
601236,红塔证券,2019-12-16
601698,中国卫通,2019-12-16
603501,韦尔股份,2019-12-16
002916,深南电路,2019-12-16
000596,古井贡酒,2019-06-17
002938,鹏鼎控股,2019-06-17
300413,芒果超媒,2019-06-17
300498,温氏股份,2019-06-17
601319,中国人保,2019-06-17
603019,中科曙光,2019-06-17
603986,兆易创新,2018-12-17
002179,中航光电,2018-12-17
000661,长春高新,2018-12-17
002001,新和成,2018-12-17
601138,工业富联,2018-12-17
002311,海大集团,2018-12-17
600760,中航沈飞,2018-12-17
601066,中信建投,2018-12-17
603259,药明康德,2018-12-17
601360,三六零,2018-06-11
600025,华能水电,2018-06-11
600346,恒力股份,2018-06-11
603288,海天味业,2018-06-11
601238,广汽集团,2018-06-11
601808,中海油服,2018-06-11
600176,中国巨石,2018-06-11
600438,通威股份,2018-06-11
600809,山西汾酒,2018-06-11
601360,三六零,2018-06-11
600025,华能水电,2018-06-11
600346,恒力股份,2018-06-11
603288,海天味业,2018-06-11
601238,广汽集团,2018-06-11
601838,成都银行,2018-06-11
601012,隆基股份,2017-12-11
002601,龙蟒佰利,2017-12-11
603799,华友钴业,2017-12-11
600011,华能国际,2017-12-11
002460,赣锋锂业,2017-12-11
601878,浙商证券,2017-12-11
300122,智飞生物,2017-12-11
300015,爱尔眼科,2017-12-11
002352,顺丰控股,2017-06-12
600436,片仔癀,2017-06-12
600919,江苏银行,2017-06-12
600926,杭州银行,2017-06-12
601229,上海银行,2017-06-12
601881,中国银河,2017-06-12
002714,牧原股份,2016-12-12
300033,同花顺,2016-12-12
601877,正泰电器,2016-12-12
000938,紫光股份,2016-12-12
002027,分众传媒,2016-06-13
600061,国投安信,2016-06-13
001979,招商蛇口,2015-12-30
601211,国泰君安,2015-12-14
601985,中国核电,2015-12-14
002736,国信证券,2015-06-15
300059,东方财富,2015-06-15
600958,东方证券,2015-06-15
601021,春秋航空,2015-06-15
601788,光大证券,2015-06-15
601919,中国远洋,2015-06-15
000166,申万宏源,2015-01-26
600570,恒生电子,2014-12-15
300124,汇川技术,2014-12-15
601225,陕西煤业,2014-06-16
002252,上海莱士,2014-06-16
002475,立讯精密,2014-06-16
600018,上港集团,2013-12-16
002230,科大讯飞,2013-12-16
000333,美的集团,2013-09-18
000963,华东医药,2013-07-01
603993,洛阳钼业,2013-07-01
002236,大华股份,2013-01-04
600886,国投电力,2013-01-04
601800,中国交建,2013-01-04
000725,京东方A,2012-07-02
002241,歌尔声学,2012-07-02
601336,新华保险,2012-07-02
601633,长城汽车,2012-07-02
601669,中国水电,2012-07-02
601901,方正证券,2012-07-02
002594,比亚迪,2012-01-04
601377,兴业证券,2011-07-01
000776,广发证券,2011-01-04
002415,海康威视,2011-01-04
600115,东方航空,2011-01-04
600276,恒瑞医药,2011-01-04
600406,国电南瑞,2011-01-04
600887,伊利股份,2011-01-04
600893,航空动力,2011-01-04
601818,光大银行,2011-01-04
601288,农业银行,2010-07-29
002304,洋河股份,2010-07-01
600999,招商证券,2010-07-01
601688,华泰证券,2010-07-01
601888,中国国旅,2010-07-01
601618,中国中冶,2010-01-04
601668,中国建筑,2010-01-04
601766,中国南车,2009-07-01
000100,TCL集团,2009-01-05
600588,用友软件,2009-01-05
601186,中国铁建,2009-01-05
601899,紫金矿业,2009-01-05
601390,中国中铁,2008-07-01
601601,中国太保,2008-07-01
601939,建设银行,2008-07-01
000338,潍柴动力,2008-01-02
000895,双汇发展,2008-01-02
002142,宁波银行,2008-01-02
600111,包钢稀土,2008-01-02
601009,南京银行,2008-01-02
601169,北京银行,2008-01-02
601857,中国石油,2007-11-19
601088,中国神华,2007-10-23
000876,新希望,2007-07-02
601328,交通银行,2007-05-29
601998,中信银行,2007-05-18
601600,中国铝业,2007-04-30
601318,中国平安,2007-03-15
601166,兴业银行,2007-02-26
601628,中国人寿,2007-01-23
600547,山东黄金,2007-01-04
601111,中国国航,2007-01-04
600048,保利地产,2007-01-04
601398,工商银行,2006-11-10
601006,大秦铁路,2006-08-15
601988,中国银行,2006-07-19
000768,西飞国际,2006-01-04
000538,云南白药,2005-07-01
600690,青岛海尔,2005-04-08
600660,福耀玻璃,2005-04-08
600585,海螺水泥,2005-04-08
600519,贵州茅台,2005-04-08
600362,江西铜业,2005-04-08
000858,五粮液,2005-04-08
000625,长安汽车,2005-04-08
000651,格力电器,2005-04-08
000568,泸州老窖,2005-04-08
000425,徐工科技,2005-04-08
000157,中联重科,2005-04-08
000063,中兴通讯,2005-04-08
000001,深发展A,2005-04-08
600009,上海机场,2005-04-08
600010,包钢股份,2005-04-08
600015,华夏银行,2005-04-08
600016,民生银行,2005-04-08
600019,宝钢股份,2005-04-08
600028,中国石化,2005-04-08
600029,南方航空,2005-04-08
600030,中信证券,2005-04-08
600031,三一重工,2005-04-08
600036,招商银行,2005-04-08
600050,中国联通,2005-04-08
000858,五粮液,2005-04-08
000625,长安汽车,2005-04-08
000651,格力电器,2005-04-08
000568,泸州老窖,2005-04-08
000425,徐工科技,2005-04-08
000157,中联重科,2005-04-08
000063,中兴通讯,2005-04-08
000001,深发展A,2005-04-08
000002,万科A,2005-04-08
